x,y
55083.547,140.16
55083.58,141.76
55083.611,143.56
55083.643,145.33
55083.679,148.16
55083.708,150.08
55083.743,151.76
55083.776,152.9
55083.809,153.63
55083.844,153.63
55083.875,153.88
55083.914,154.08
55083.945,154.27
55083.976,154.46
55084.01,154.63
55084.043,154.76
55084.08,154.88
55084.11,154.96
55084.141,155.01
55084.177,155.04
55084.209,155.03
55084.243,154.92
55084.278,154.57
55084.309,153.96
55084.348,152.98
55084.374,151.17
55084.41,147.87
55084.445,145.15
55084.476,142.91
55084.51,140.27
55084.545,137.27
55084.575,134.53
55084.612,131.76
55084.643,128.91
55084.675,122.79
55084.709,119.47
55084.743,115.69
55084.775,112.86
55084.808,110.03
55084.846,102.27
55084.876,99.09
55084.908,96.39
55084.947,94.12
55084.977,88.13
55085.009,84.85
55085.046,81.71
55085.077,79.82
55085.109,76.35
55085.142,73.29
55085.176,68.78
55085.209,64.25
55085.242,60.05
55085.278,55.8
55085.309,51.6
55085.344,47.96
55085.376,44.87
55085.409,39.77
55085.443,36.71
55085.474,33.25
55085.507,30.89
55085.544,28.88
55085.576,27.51
55085.609,26.01
55085.643,24.42
55085.675,22.95
55085.709,20.71
55085.743,18.43
55085.778,16.56
55085.808,15.03
55085.843,13.91
55085.875,13.07
55085.91,12.49
55085.943,12.05
55085.975,11.68
55086.008,11.33
55086.044,10.87
55086.073,10.49
55086.111,10.17
55086.142,9.91
55086.178,9.7
55086.212,9.53
55086.243,9.39
55086.277,9.28
55086.31,9.19
55086.343,9.12
55086.376,9.07
55086.41,9.02
55086.444,8.99
55086.475,8.95
55086.509,8.92
55086.543,8.89
55086.576,8.87
55086.609,8.84
55086.645,8.82
55086.675,8.83
55086.709,8.86
55086.742,9.77
55086.775,13.09
55086.811,17.57
55086.843,22.7
55086.875,26.75
55086.909,32.04
55086.944,37.6
55086.977,43.31
55087.01,49.66
55087.043,55.2
55087.076,63.1
55087.106,68.15
55087.144,76.67
55087.178,82.04
55087.21,86.87
55087.245,93.6
55087.274,97.45
