elev,shp,time,elb,rie
85.8,61.01,15:05:01:042,10.43,666.0
82.17,64.63,15:05:01:164,17.94,666.0
81.55,66.27,15:05:01:289,18.79,666.0
79.81,67.66,15:05:01:419,23.52,666.0
61.42,66.76,15:05:01:549,50.44,6.96
82.06,70.95,15:05:01:674,23.51,666.0
84.7,67.53,15:05:01:796,25.57,666.0
86.11,66.38,15:05:01:933,25.72,666.0
81.81,61.37,15:05:02:059,33.42,54.76
80.2,64.74,15:05:02:191,28.55,666.0
83.07,64.17,15:05:02:310,18.58,666.0
87.32,59.05,15:05:02:428,16.51,666.0
88.66,54.0,15:05:02:565,16.91,666.0
88.13,52.4,15:05:02:692,7.64,666.0
87.3,40.47,15:05:02:822,13.47,666.0
87.38,34.36,15:05:02:948,9.84,666.0
86.86,25.97,15:05:03:065,11.12,666.0
87.08,19.64,15:05:03:185,12.68,666.0
86.86,12.55,15:05:03:316,11.89,666.0
86.93,6.18,15:05:03:438,13.74,666.0
86.72,0.97,15:05:03:571,14.17,666.0
86.37,-1.98,15:05:03:690,12.81,666.0
86.26,-5.24,15:05:03:812,12.25,666.0
85.78,-7.03,15:05:03:934,12.34,666.0
85.49,-7.76,15:05:04:065,10.31,666.0
85.37,-7.09,15:05:04:218,11.18,666.0
85.53,-5.55,15:05:04:342,10.84,666.0
84.99,-1.4,15:05:04:465,14.77,666.0
84.69,4.45,15:05:04:589,14.94,666.0
84.52,13.35,15:05:04:718,16.01,666.0
84.75,21.79,15:05:04:840,15.57,666.0
84.45,35.09,15:05:04:967,11.25,666.0
84.9,37.75,15:05:05:087,11.37,666.0
85.78,44.36,15:05:05:212,13.14,666.0
86.18,53.49,15:05:05:337,8.69,666.0
86.24,59.68,15:05:05:461,9.44,666.0
86.44,61.96,15:05:05:610,10.05,666.0
82.88,67.16,15:05:05:732,13.65,666.0
83.0,67.6,15:05:05:859,16.32,666.0
83.28,71.02,15:05:05:988,17.52,666.0
82.24,71.23,15:05:06:115,22.67,666.0
81.76,72.97,15:05:06:238,22.53,666.0
83.92,74.95,15:05:06:361,21.1,666.0
85.66,76.32,15:05:06:499,14.68,666.0
87.02,72.52,15:05:06:631,24.39,666.0
85.41,71.82,15:05:06:753,19.91,666.0
84.16,69.07,15:05:06:872,20.27,666.0
84.62,65.35,15:05:07:000,22.08,666.0
84.77,62.75,15:05:07:127,18.27,666.0
87.2,57.36,15:05:07:253,12.7,666.0
84.27,45.3,15:05:07:384,22.66,666.0
86.74,43.77,15:05:07:529,13.36,666.0
85.13,37.78,15:05:07:656,12.05,666.0
84.92,32.28,15:05:07:775,12.23,666.0
86.74,25.55,15:05:07:895,13.92,666.0
87.15,23.66,15:05:08:018,11.24,666.0
87.23,16.23,15:05:08:141,13.45,666.0
