elev,shp,time,elb,rie
122.37,67.55,18:28:46:496,13.25,666.0
128.93,62.06,18:28:46:623,17.75,666.0
135.75,58.07,18:28:46:750,17.56,666.0
143.15,49.63,18:28:46:882,20.02,666.0
149.93,40.27,18:28:47:004,18.47,666.0
153.65,30.06,18:28:47:128,18.29,666.0
154.06,22.83,18:28:47:260,19.14,666.0
154.05,22.91,18:28:47:390,19.13,666.0
152.41,27.37,18:28:47:527,19.91,666.0
139.61,38.48,18:28:47:661,29.47,666.0
132.17,53.43,18:28:47:801,22.26,666.0
120.18,59.92,18:28:47:939,23.84,666.0
102.2,65.4,18:28:48:066,26.04,666.0
80.73,67.22,18:28:48:206,28.62,666.0
67.93,64.25,18:28:48:341,21.4,666.0
51.42,55.18,18:28:48:466,31.25,30.62
38.86,52.75,18:28:48:593,32.62,22.0
29.4,50.48,18:28:48:737,25.48,666.0
19.47,35.22,18:28:48:861,32.37,10.9
16.39,22.75,18:28:48:998,28.68,666.0
14.41,5.2,18:28:49:130,27.28,666.0
12.83,-8.29,18:28:49:273,27.1,666.0
11.61,-19.28,18:28:49:405,28.26,666.0
11.05,-24.57,18:28:49:530,29.55,666.0
10.86,-25.13,18:28:49:644,29.83,666.0
10.61,-21.67,18:28:49:778,30.49,6.63
10.22,-6.92,18:28:49:909,30.66,7.87
12.04,21.65,18:28:50:038,33.06,10.1
22.04,47.66,18:28:50:175,37.57,13.73
41.56,62.72,18:28:50:296,32.72,26.73
58.96,70.21,18:28:50:423,19.72,666.0
64.36,69.72,18:28:50:550,25.83,666.0
70.12,68.08,18:28:50:686,38.7,18.29
89.39,67.19,18:28:50:813,27.84,666.0
103.58,65.72,18:28:50:944,18.02,666.0
117.09,62.09,18:28:51:084,21.42,666.0
127.68,60.01,18:28:51:208,18.45,666.0
135.52,56.69,18:28:51:339,17.28,666.0
140.82,51.55,18:28:51:464,18.0,666.0
148.14,41.11,18:28:51:598,18.14,666.0
149.82,33.84,18:28:51:738,19.92,666.0
152.63,25.06,18:28:51:863,21.0,666.0
152.89,22.19,18:28:51:999,19.62,666.0
152.23,22.64,18:28:52:136,19.31,666.0
149.46,30.72,18:28:52:265,19.19,666.0
140.97,47.02,18:28:52:392,19.13,666.0
133.73,52.11,18:28:52:515,17.78,666.0
119.01,59.11,18:28:52:635,16.51,666.0
103.73,61.77,18:28:52:758,19.54,666.0
83.75,63.43,18:28:52:889,28.27,666.0
76.21,62.57,18:28:53:031,24.38,666.0
71.77,61.59,18:28:53:160,19.81,666.0
53.69,62.34,18:28:53:295,23.01,666.0
38.27,59.17,18:28:53:422,30.92,15.45
31.14,57.75,18:28:53:548,29.09,666.0
18.15,50.25,18:28:53:678,34.47,-0.53
13.97,31.8,18:28:53:806,30.92,0.35
13.14,14.67,18:28:53:942,30.2,2.63
13.59,-4.06,18:28:54:086,30.74,6.25
13.08,-16.92,18:28:54:208,31.51,4.76
12.81,-17.0,18:28:54:331,31.84,5.5
12.52,-15.3,18:28:54:460,31.7,5.21
12.58,-10.39,18:28:54:589,31.17,5.87
12.44,-5.14,18:28:54:710,32.83,5.01
15.16,18.43,18:28:54:843,33.59,9.17
23.38,39.65,18:28:54:976,38.47,12.22
