elev,shp,time,elb,rie
154.65,27.45,19:10:15:533,19.41,666.0
160.25,36.77,19:10:15:677,15.53,666.0
160.87,37.49,19:10:15:817,16.0,666.0
159.09,32.79,19:10:15:940,15.34,666.0
156.97,23.51,19:10:16:073,14.39,666.0
149.96,17.1,19:10:16:190,18.47,666.0
144.63,11.89,19:10:16:318,15.21,666.0
136.93,6.91,19:10:16:463,14.63,666.0
126.99,2.31,19:10:16:594,16.05,666.0
113.96,0.28,19:10:16:718,14.76,666.0
101.54,-2.06,19:10:16:837,15.3,666.0
91.88,-1.78,19:10:16:958,15.66,666.0
80.05,-3.99,19:10:17:089,12.17,666.0
68.58,-4.91,19:10:17:217,14.81,666.0
58.39,-5.85,19:10:17:338,16.9,666.0
52.35,-6.96,19:10:17:461,16.05,666.0
44.99,-6.96,19:10:17:586,14.91,666.0
39.63,-8.52,19:10:17:719,14.84,666.0
33.81,-9.96,19:10:17:836,11.06,666.0
28.27,-9.4,19:10:17:974,12.91,666.0
23.56,-10.08,19:10:18:117,14.9,666.0
20.44,-11.38,19:10:18:246,16.77,666.0
19.39,-10.56,19:10:18:385,16.08,666.0
18.79,-11.93,19:10:18:520,16.21,666.0
16.78,-16.27,19:10:18:640,17.35,666.0
14.84,-18.79,19:10:18:774,17.58,666.0
13.98,-18.61,19:10:18:907,18.11,666.0
13.28,-16.88,19:10:19:038,18.62,666.0
12.86,-14.79,19:10:19:161,18.3,666.0
12.49,-13.7,19:10:19:295,18.51,666.0
15.24,-12.91,19:10:19:425,21.54,666.0
23.22,-6.43,19:10:19:563,21.73,666.0
33.82,-4.06,19:10:19:691,19.65,666.0
44.86,-3.24,19:10:19:817,18.92,666.0
53.97,-1.54,19:10:19:942,18.4,666.0
62.29,-0.74,19:10:20:073,17.01,666.0
71.41,0.61,19:10:20:201,15.1,666.0
76.41,2.31,19:10:20:331,16.62,666.0
85.75,1.4,19:10:20:457,15.4,666.0
95.12,2.47,19:10:20:585,16.43,666.0
