elev,shp,time,elb,rie
10.81,1.5,15:31:22:975,17.91,666.0
11.02,-20.45,15:31:23:102,16.26,666.0
12.07,-31.35,15:31:23:230,16.54,666.0
13.56,-39.63,15:31:23:358,17.6,666.0
14.12,-42.18,15:31:23:469,18.33,666.0
14.12,-42.32,15:31:23:590,18.67,666.0
13.92,-42.21,15:31:23:704,18.62,666.0
13.77,-42.0,15:31:23:839,18.2,666.0
13.51,-41.52,15:31:23:962,17.79,666.0
13.28,-40.59,15:31:24:093,17.49,666.0
12.53,-38.91,15:31:24:222,17.0,666.0
11.22,-33.88,15:31:24:341,16.71,666.0
9.46,-23.06,15:31:24:464,20.16,666.0
9.64,14.66,15:31:24:585,25.35,666.0
17.14,50.25,15:31:24:715,26.77,666.0
29.75,62.6,15:31:24:833,34.26,12.8
44.87,70.75,15:31:24:957,25.66,666.0
63.68,75.77,15:31:25:083,15.74,666.0
73.28,78.71,15:31:25:210,21.58,666.0
75.34,80.19,15:31:25:326,32.28,-0.36
95.72,72.37,15:31:25:443,19.01,666.0
104.82,72.13,15:31:25:570,20.57,666.0
111.31,72.71,15:31:25:693,22.25,666.0
115.91,70.14,15:31:25:823,22.92,666.0
123.23,70.2,15:31:25:941,23.07,666.0
126.89,70.65,15:31:26:060,23.39,666.0
133.8,71.56,15:31:26:187,20.81,666.0
139.01,71.36,15:31:26:308,19.68,666.0
142.18,70.97,15:31:26:438,21.42,666.0
144.73,68.88,15:31:26:556,21.96,666.0
149.36,65.8,15:31:26:673,21.57,666.0
152.29,61.86,15:31:26:796,20.1,666.0
153.14,59.28,15:31:26:921,21.26,666.0
154.6,55.88,15:31:27:041,20.64,666.0
154.28,55.35,15:31:27:162,20.83,666.0
152.63,56.36,15:31:27:281,19.29,666.0
147.45,62.33,15:31:27:403,18.43,666.0
142.28,66.28,15:31:27:529,18.93,666.0
132.43,69.32,15:31:27:655,23.04,666.0
122.72,70.87,15:31:27:773,23.37,666.0
115.69,70.8,15:31:27:895,23.31,666.0
101.88,71.95,15:31:28:014,24.9,666.0
88.3,73.23,15:31:28:142,26.6,666.0
75.89,74.46,15:31:28:273,30.61,16.07
67.94,75.7,15:31:28:393,20.94,666.0
47.19,71.03,15:31:28:528,29.96,666.0
41.28,68.63,15:31:28:667,18.22,666.0
26.27,56.76,15:31:28:802,24.12,666.0
18.33,45.25,15:31:28:927,22.11,666.0
12.28,15.41,15:31:29:060,22.3,666.0
10.5,-4.43,15:31:29:184,15.65,666.0
10.57,-30.74,15:31:29:308,17.93,666.0
11.42,-38.73,15:31:29:427,15.67,666.0
13.47,-45.61,15:31:29:545,18.28,666.0
14.08,-49.62,15:31:29:678,17.44,666.0
14.22,-51.11,15:31:29:806,17.51,666.0
14.09,-51.31,15:31:29:941,17.67,666.0
14.09,-51.22,15:31:30:058,17.87,666.0
14.09,-51.16,15:31:30:178,17.76,666.0
13.88,-51.32,15:31:30:317,18.64,666.0
13.25,-47.13,15:31:30:439,23.58,666.0
11.66,-25.24,15:31:30:557,26.15,666.0
13.69,32.16,15:31:30:684,24.79,666.0
23.17,59.28,15:31:30:807,27.79,666.0
35.92,69.02,15:31:30:934,26.12,666.0
54.77,79.32,15:31:31:057,9.97,666.0
65.87,81.49,15:31:31:187,15.23,666.0
72.88,82.01,15:31:31:307,25.0,666.0
85.08,79.28,15:31:31:436,25.17,666.0
93.72,77.09,15:31:31:555,26.0,666.0
103.0,72.79,15:31:31:672,22.31,666.0
110.69,72.81,15:31:31:795,22.53,666.0
121.57,70.62,15:31:31:950,21.48,666.0
125.59,71.22,15:31:32:070,24.03,666.0
132.47,71.07,15:31:32:195,21.29,666.0
136.55,70.19,15:31:32:307,22.35,666.0
140.57,69.39,15:31:32:428,21.1,666.0
143.86,68.53,15:31:32:545,21.64,666.0
147.9,68.47,15:31:32:675,22.2,666.0
149.58,69.86,15:31:32:794,21.93,666.0
154.23,68.71,15:31:32:918,18.3,666.0
154.22,67.46,15:31:33:035,20.79,666.0
155.94,68.22,15:31:33:161,19.72,666.0
156.15,68.33,15:31:33:285,19.54,666.0
155.03,68.17,15:31:33:401,20.72,666.0
154.11,68.68,15:31:33:523,19.45,666.0
149.11,68.14,15:31:33:638,21.98,666.0
145.12,69.56,15:31:33:757,19.62,666.0
138.27,73.36,15:31:33:894,17.43,666.0
130.04,74.96,15:31:34:012,22.17,666.0
121.61,76.62,15:31:34:138,22.17,666.0
114.85,76.96,15:31:34:263,19.01,666.0
96.88,76.46,15:31:34:399,29.23,666.0
85.47,76.69,15:31:34:522,32.57,12.62
74.41,78.21,15:31:34:641,25.77,666.0
68.21,79.11,15:31:34:761,23.62,666.0
62.99,77.61,15:31:34:878,13.54,666.0
49.99,71.99,15:31:35:007,7.75,666.0
41.57,67.4,15:31:35:130,8.8,666.0
27.66,58.11,15:31:35:252,21.39,666.0
18.44,39.02,15:31:35:374,28.59,666.0
16.32,29.17,15:31:35:493,20.53,666.0
13.67,1.45,15:31:35:616,19.84,666.0
13.18,-15.55,15:31:35:738,20.76,666.0
13.11,-24.32,15:31:35:858,18.19,666.0
13.15,-32.16,15:31:35:981,17.36,666.0
13.67,-40.21,15:31:36:111,19.54,666.0
13.85,-43.45,15:31:36:240,18.06,666.0
14.28,-46.57,15:31:36:371,19.69,666.0
14.22,-47.45,15:31:36:490,19.42,666.0
14.24,-47.69,15:31:36:613,18.99,666.0
13.86,-46.87,15:31:36:739,18.64,666.0
