y,shp,rie,elb,x,date,images
139.63,77.02,-9.16,12.47,45288.858,2023-10-03,10-03-2023-12-34-48-858.jpg
140.0,75.3,-11.47,12.17,45288.977,2023-10-03,10-03-2023-12-34-48-977.jpg
140.08,74.76,-12.02,12.43,45289.082,2023-10-03,10-03-2023-12-34-49-082.jpg
140.09,74.5,-12.29,12.69,45289.188,2023-10-03,10-03-2023-12-34-49-188.jpg
138.53,74.22,-12.73,12.31,45289.286,2023-10-03,10-03-2023-12-34-49-286.jpg
133.58,62.06,-30.3,3.11,45289.404,2023-10-03,10-03-2023-12-34-49-404.jpg
125.51,58.08,-34.8,3.95,45289.502,2023-10-03,10-03-2023-12-34-49-502.jpg
105.21,49.34,-45.72,5.63,45289.615,2023-10-03,10-03-2023-12-34-49-615.jpg
92.43,44.88,-54.08,6.54,45289.724,2023-10-03,10-03-2023-12-34-49-724.jpg
77.07,45.57,-57.53,14.99,45289.837,2023-10-03,10-03-2023-12-34-49-837.jpg
62.58,51.83,-47.87,8.24,45289.934,2023-10-03,10-03-2023-12-34-49-934.jpg
51.45,56.87,-42.27,6.75,45290.036,2023-10-03,10-03-2023-12-34-50-036.jpg
47.48,64.17,-33.46,7.23,45290.171,2023-10-03,10-03-2023-12-34-50-171.jpg
42.07,74.07,-22.93,10.36,45290.273,2023-10-03,10-03-2023-12-34-50-273.jpg
37.68,79.3,-16.17,8.39,45290.387,2023-10-03,10-03-2023-12-34-50-387.jpg
38.09,78.3,-18.08,9.77,45290.489,2023-10-03,10-03-2023-12-34-50-489.jpg
39.95,75.6,-21.67,11.1,45290.602,2023-10-03,10-03-2023-12-34-50-602.jpg
46.87,70.49,-28.94,13.23,45290.708,2023-10-03,10-03-2023-12-34-50-708.jpg
60.76,55.15,-45.05,17.26,45290.819,2023-10-03,10-03-2023-12-34-50-819.jpg
74.49,46.1,-56.32,11.85,45290.915,2023-10-03,10-03-2023-12-34-50-915.jpg
84.83,40.52,-62.54,8.59,45291.025,2023-10-03,10-03-2023-12-34-51-025.jpg
101.46,44.24,-53.26,4.6,45291.134,2023-10-03,10-03-2023-12-34-51-134.jpg
108.65,46.62,-48.99,6.69,45291.233,2023-10-03,10-03-2023-12-34-51-233.jpg
118.64,51.41,-40.06,13.04,45291.336,2023-10-03,10-03-2023-12-34-51-336.jpg
118.82,53.39,-37.64,13.63,45291.434,2023-10-03,10-03-2023-12-34-51-434.jpg
125.13,57.35,-32.92,8.22,45291.536,2023-10-03,10-03-2023-12-34-51-536.jpg
128.9,62.46,-27.89,5.44,45291.655,2023-10-03,10-03-2023-12-34-51-655.jpg
134.92,71.96,-15.57,13.18,45291.754,2023-10-03,10-03-2023-12-34-51-754.jpg
136.85,74.17,-14.78,9.77,45291.856,2023-10-03,10-03-2023-12-34-51-856.jpg
135.8,72.88,-16.59,9.15,45291.952,2023-10-03,10-03-2023-12-34-51-952.jpg
134.55,70.13,-19.93,8.17,45292.049,2023-10-03,10-03-2023-12-34-52-049.jpg
130.4,67.0,-23.41,7.38,45292.156,2023-10-03,10-03-2023-12-34-52-156.jpg
126.13,56.02,-37.61,3.55,45292.261,2023-10-03,10-03-2023-12-34-52-261.jpg
103.8,47.33,-50.02,3.97,45292.366,2023-10-03,10-03-2023-12-34-52-366.jpg
93.34,41.63,-58.99,8.04,45292.459,2023-10-03,10-03-2023-12-34-52-459.jpg
85.04,41.01,-59.01,9.21,45292.568,2023-10-03,10-03-2023-12-34-52-568.jpg
76.52,42.45,-58.9,10.79,45292.671,2023-10-03,10-03-2023-12-34-52-671.jpg
61.98,49.36,-45.96,5.31,45292.771,2023-10-03,10-03-2023-12-34-52-771.jpg
61.68,51.03,-44.67,5.93,45292.872,2023-10-03,10-03-2023-12-34-52-872.jpg
55.64,55.2,-42.09,6.25,45292.967,2023-10-03,10-03-2023-12-34-52-967.jpg
50.44,64.44,-30.44,4.09,45293.071,2023-10-03,10-03-2023-12-34-53-071.jpg
42.36,70.02,-26.43,7.89,45293.174,2023-10-03,10-03-2023-12-34-53-174.jpg
40.46,73.17,-23.17,9.21,45293.286,2023-10-03,10-03-2023-12-34-53-286.jpg
40.41,75.95,-19.73,8.31,45293.399,2023-10-03,10-03-2023-12-34-53-399.jpg
38.66,78.33,-16.27,5.99,45293.505,2023-10-03,10-03-2023-12-34-53-505.jpg
37.83,79.97,-13.92,5.06,45293.633,2023-10-03,10-03-2023-12-34-53-633.jpg
38.5,78.65,-15.92,6.14,45293.736,2023-10-03,10-03-2023-12-34-53-736.jpg
40.93,76.22,-19.82,9.02,45293.835,2023-10-03,10-03-2023-12-34-53-835.jpg
45.15,70.99,-26.54,10.6,45293.938,2023-10-03,10-03-2023-12-34-53-938.jpg
55.4,57.89,-43.73,12.84,45294.034,2023-10-03,10-03-2023-12-34-54-034.jpg
72.37,45.62,-59.29,9.8,45294.132,2023-10-03,10-03-2023-12-34-54-132.jpg
78.27,43.67,-60.66,3.32,45294.232,2023-10-03,10-03-2023-12-34-54-232.jpg
83.61,39.86,-66.16,3.7,45294.338,2023-10-03,10-03-2023-12-34-54-338.jpg
88.02,39.54,-66.37,2.34,45294.443,2023-10-03,10-03-2023-12-34-54-443.jpg
103.19,42.62,-56.75,2.09,45294.547,2023-10-03,10-03-2023-12-34-54-547.jpg
111.93,45.61,-47.07,7.45,45294.64,2023-10-03,10-03-2023-12-34-54-640.jpg
123.77,55.89,-34.71,11.22,45294.734,2023-10-03,10-03-2023-12-34-54-734.jpg
129.06,61.28,-30.42,7.09,45294.834,2023-10-03,10-03-2023-12-34-54-834.jpg
132.35,67.06,-22.3,11.16,45294.947,2023-10-03,10-03-2023-12-34-54-947.jpg
135.33,71.29,-16.26,13.77,45295.054,2023-10-03,10-03-2023-12-34-55-054.jpg
138.44,72.99,-13.65,15.81,45295.158,2023-10-03,10-03-2023-12-34-55-158.jpg
137.06,72.92,-13.07,15.66,45295.253,2023-10-03,10-03-2023-12-34-55-253.jpg
