elev,shp,time,elb,rie
88.25,7.2,14:58:43:990,29.93,666.0
87.6,7.71,14:58:44:103,28.05,666.0
86.53,8.21,14:58:44:223,21.48,666.0
85.92,8.31,14:58:44:346,21.2,666.0
85.65,8.48,14:58:44:484,18.92,666.0
85.04,8.65,14:58:44:605,13.12,666.0
83.87,8.65,14:58:44:732,14.14,666.0
83.68,8.41,14:58:44:846,18.14,666.0
83.76,8.41,14:58:44:973,15.59,666.0
83.74,8.06,14:58:45:096,16.97,666.0
84.04,8.21,14:58:45:214,24.47,666.0
84.64,8.35,14:58:45:333,28.27,666.0
85.24,8.44,14:58:45:450,27.19,666.0
85.77,8.29,14:58:45:581,30.25,-45.49
86.4,8.14,14:58:45:709,33.49,-37.25
87.02,8.11,14:58:45:832,39.23,-30.63
87.49,7.94,14:58:45:950,44.4,-25.23
87.57,7.7,14:58:46:069,48.7,-21.64
87.54,7.8,14:58:46:204,55.39,-19.29
88.27,7.91,14:58:46:323,60.46,-13.19
88.06,8.14,14:58:46:449,65.0,-12.18
88.04,8.21,14:58:46:581,69.12,-9.93
88.81,6.67,14:58:46:716,73.58,-7.18
88.5,7.33,14:58:46:832,70.88,-8.17
88.52,8.2,14:58:46:953,66.53,-9.03
88.79,8.38,14:58:47:076,61.05,-7.89
89.06,8.31,14:58:47:202,50.09,-8.17
89.82,8.33,14:58:47:326,43.94,-7.91
90.22,8.54,14:58:47:448,38.49,-8.28
90.12,8.39,14:58:47:571,32.65,-13.39
89.92,8.33,14:58:47:691,28.44,666.0
89.33,8.6,14:58:47:810,24.2,666.0
88.97,8.55,14:58:47:956,22.57,666.0
88.62,8.64,14:58:48:080,19.34,666.0
88.43,8.91,14:58:48:200,17.01,666.0
87.72,9.34,14:58:48:323,12.47,666.0
87.01,9.96,14:58:48:450,18.73,666.0
87.09,9.9,14:58:48:575,14.03,666.0
86.85,10.44,14:58:48:702,17.33,666.0
86.76,10.59,14:58:48:824,18.03,666.0
86.76,10.61,14:58:48:949,20.54,666.0
86.73,10.49,14:58:49:078,20.15,666.0
86.74,10.94,14:58:49:214,17.06,666.0
86.51,10.64,14:58:49:369,24.41,666.0
86.28,10.6,14:58:49:520,27.85,666.0
86.37,10.52,14:58:49:677,33.12,-34.22
86.33,9.66,14:58:49:807,41.06,-30.78
86.55,9.49,14:58:49:938,47.06,-25.93
86.73,9.03,14:58:50:073,51.78,-24.23
86.85,9.09,14:58:50:205,56.77,-20.78
87.61,8.85,14:58:50:344,58.63,-16.11
87.71,8.17,14:58:50:475,63.01,-15.78
87.55,7.71,14:58:50:611,67.43,-17.0
87.72,7.31,14:58:50:754,68.75,-16.38
87.65,6.92,14:58:50:883,67.22,-18.84
88.19,6.35,14:58:51:010,58.49,-18.19
88.84,5.91,14:58:51:144,50.92,-14.98
89.08,6.26,14:58:51:273,43.59,-17.14
89.18,6.61,14:58:51:424,32.32,-21.14
89.14,6.86,14:58:51:568,28.53,666.0
88.94,6.98,14:58:51:716,23.98,666.0
88.73,7.32,14:58:51:854,20.55,666.0
87.91,7.19,14:58:51:995,18.68,666.0
87.05,7.77,14:58:52:131,21.11,666.0
86.14,7.9,14:58:52:274,18.33,666.0
85.72,8.1,14:58:52:406,16.1,666.0
85.51,8.26,14:58:52:559,14.65,666.0
85.39,8.25,14:58:52:699,11.42,666.0
85.21,8.06,14:58:52:829,18.99,666.0
85.24,8.09,14:58:52:950,15.63,666.0
85.61,8.36,14:58:53:069,18.68,666.0
85.93,8.47,14:58:53:193,22.21,666.0
86.33,8.34,14:58:53:313,25.53,666.0
87.16,8.7,14:58:53:434,31.24,-38.08
88.43,9.01,14:58:53:558,35.45,-26.72
88.94,8.87,14:58:53:680,38.09,-17.39
89.61,8.64,14:58:53:801,43.51,-9.86
89.9,8.24,14:58:53:915,48.95,-4.71
89.98,8.4,14:58:54:037,52.06,-3.43
90.89,8.33,14:58:54:151,52.54,4.39
90.44,8.74,14:58:54:273,57.96,1.67
90.15,8.56,14:58:54:394,60.29,-0.28
90.08,8.6,14:58:54:517,60.98,-0.18
90.14,8.35,14:58:54:634,60.05,0.43
90.48,8.37,14:58:54:756,51.77,1.4
89.97,8.1,14:58:54:882,45.97,-5.69
90.27,7.82,14:58:55:008,42.29,-6.83
89.78,7.93,14:58:55:120,34.7,-15.91
89.48,8.12,14:58:55:237,30.71,-18.75
88.87,8.2,14:58:55:374,28.05,666.0
87.38,8.61,14:58:55:489,25.01,666.0
86.79,8.9,14:58:55:610,22.82,666.0
86.45,9.11,14:58:55:731,21.96,666.0
85.34,9.01,14:58:55:845,13.81,666.0
84.43,9.07,14:58:55:968,13.91,666.0
84.12,8.86,14:58:56:083,13.79,666.0
83.88,8.73,14:58:56:202,14.43,666.0
83.69,9.0,14:58:56:319,14.18,666.0
83.5,8.85,14:58:56:446,17.8,666.0
83.39,9.05,14:58:56:577,18.83,666.0
83.34,9.05,14:58:56:698,17.92,666.0
83.38,9.08,14:58:56:818,23.8,666.0
83.51,8.91,14:58:56:940,23.99,666.0
83.73,8.8,14:58:57:065,25.7,666.0
84.22,8.92,14:58:57:180,30.16,-51.21
84.98,8.57,14:58:57:306,36.83,-46.56
85.52,8.29,14:58:57:426,37.71,-38.7
86.34,8.58,14:58:57:547,44.03,-30.76
86.61,8.43,14:58:57:676,47.49,-28.04
86.35,9.15,14:58:57:798,50.5,-27.32
87.08,9.19,14:58:57:921,53.67,-22.13
87.65,9.0,14:58:58:052,57.35,-17.87
87.77,8.89,14:58:58:169,61.36,-16.44
87.53,8.91,14:58:58:286,64.9,-17.22
87.39,9.09,14:58:58:399,65.94,-17.22
87.43,8.95,14:58:58:528,66.14,-16.58
87.83,8.66,14:58:58:659,59.81,-15.74
87.6,8.42,14:58:58:771,53.63,-18.07
87.43,7.61,14:58:58:889,46.93,-24.0
