elev,shp,time,elb,rie
153.0,13.2,14:00:06:782,21.22,666.0
152.35,22.6,14:00:06:911,19.61,666.0
150.08,33.94,14:00:07:033,18.05,666.0
146.12,45.39,14:00:07:163,17.12,666.0
137.71,55.73,14:00:07:289,18.74,666.0
132.27,57.67,14:00:07:427,19.52,666.0
126.01,60.75,14:00:07:556,20.77,666.0
120.3,63.41,14:00:07:698,22.22,666.0
113.27,64.78,14:00:07:837,23.34,666.0
103.22,65.27,14:00:07:963,26.48,666.0
90.08,68.67,14:00:08:095,33.61,38.18
77.82,65.85,14:00:08:226,37.62,38.13
72.93,66.29,14:00:08:349,38.35,38.29
69.6,66.35,14:00:08:475,33.91,43.1
63.07,65.67,14:00:08:598,26.25,666.0
36.45,57.51,14:00:08:726,56.36,7.28
38.51,58.07,14:00:08:866,27.89,666.0
33.69,49.19,14:00:09:011,28.11,666.0
24.46,36.24,14:00:09:138,35.94,18.06
20.88,32.31,14:00:09:260,29.11,666.0
16.67,22.89,14:00:09:387,28.75,666.0
13.35,7.12,14:00:09:525,28.03,666.0
12.49,-5.22,14:00:09:650,24.63,666.0
12.92,-12.47,14:00:09:781,26.24,666.0
12.4,-13.01,14:00:09:907,26.43,666.0
12.05,-12.88,14:00:10:041,26.15,666.0
11.89,-12.87,14:00:10:170,26.43,666.0
11.78,-13.1,14:00:10:296,26.47,666.0
11.66,-10.86,14:00:10:431,26.86,666.0
11.31,-3.05,14:00:10:562,29.48,666.0
12.65,17.46,14:00:10:705,31.34,3.64
19.35,37.61,14:00:10:842,33.35,9.1
31.21,53.63,14:00:10:961,29.85,666.0
36.26,57.15,14:00:11:087,32.98,18.76
46.25,66.29,14:00:11:210,30.58,12.52
59.82,71.86,14:00:11:341,20.45,666.0
70.4,70.97,14:00:11:474,25.97,666.0
79.17,68.65,14:00:11:607,24.97,666.0
92.63,71.74,14:00:11:732,16.51,666.0
98.19,69.5,14:00:11:880,26.92,666.0
108.29,64.54,14:00:12:007,25.52,666.0
114.44,61.54,14:00:12:151,27.47,666.0
127.53,59.81,14:00:12:306,19.33,666.0
133.29,56.89,14:00:12:460,20.81,666.0
140.07,50.45,14:00:12:609,19.43,666.0
144.19,44.61,14:00:12:750,21.06,666.0
147.95,38.38,14:00:12:881,19.91,666.0
151.22,29.44,14:00:13:011,20.72,666.0
152.04,21.21,14:00:13:129,20.97,666.0
151.85,16.29,14:00:13:263,21.28,666.0
152.33,12.97,14:00:13:395,21.43,666.0
152.45,14.21,14:00:13:526,21.51,666.0
151.87,17.83,14:00:13:658,22.0,666.0
151.03,19.73,14:00:13:788,22.59,666.0
150.41,22.55,14:00:13:930,22.77,666.0
150.21,25.3,14:00:14:085,22.53,666.0
148.62,33.87,14:00:14:229,21.69,666.0
144.56,43.33,14:00:14:358,20.63,666.0
136.2,52.43,14:00:14:492,20.69,666.0
128.94,56.77,14:00:14:612,21.58,666.0
122.0,61.27,14:00:14:741,21.99,666.0
116.09,63.58,14:00:14:864,22.19,666.0
109.51,65.96,14:00:14:997,21.71,666.0
96.14,67.16,14:00:15:126,30.76,35.55
92.92,68.45,14:00:15:256,26.65,666.0
84.25,67.04,14:00:15:403,26.83,666.0
73.87,63.44,14:00:15:525,33.65,32.38
68.39,66.53,14:00:15:660,35.22,22.9
68.69,66.16,14:00:15:787,30.18,35.67
56.03,60.79,14:00:15:911,70.44,33.71
52.51,70.78,14:00:16:042,32.93,13.8
48.38,68.58,14:00:16:165,21.91,666.0
44.02,67.84,14:00:16:297,15.63,666.0
38.48,66.27,14:00:16:426,16.1,666.0
34.87,63.14,14:00:16:550,19.47,666.0
27.9,57.33,14:00:16:684,25.54,666.0
20.68,47.43,14:00:16:819,30.17,9.32
17.34,37.51,14:00:16:947,28.7,666.0
15.07,29.08,14:00:17:079,27.36,666.0
12.73,20.35,14:00:17:212,25.82,666.0
10.11,11.17,14:00:17:354,23.7,666.0
9.23,-6.62,14:00:17:478,25.71,666.0
9.19,-15.64,14:00:17:612,25.74,666.0
10.01,-22.23,14:00:17:746,27.44,666.0
9.86,-20.52,14:00:17:877,26.68,666.0
10.42,-24.27,14:00:18:008,27.65,666.0
10.95,-25.84,14:00:18:139,27.88,666.0
10.87,-26.84,14:00:18:269,27.2,666.0
10.64,-25.72,14:00:18:399,27.43,666.0
10.0,-17.55,14:00:18:534,30.53,-1.63
11.76,9.19,14:00:18:672,30.66,1.8
15.72,34.81,14:00:18:813,33.9,2.69
22.34,49.78,14:00:18:936,35.52,5.19
37.71,62.76,14:00:19:055,19.6,666.0
42.2,64.22,14:00:19:178,27.83,666.0
51.67,69.11,14:00:19:310,32.75,11.61
61.83,62.13,14:00:19:451,32.83,49.75
73.01,67.75,14:00:19:580,33.51,19.32
91.03,66.78,14:00:19:705,19.96,666.0
98.09,66.22,14:00:19:828,20.74,666.0
104.77,66.56,14:00:19:963,19.25,666.0
112.7,63.7,14:00:20:091,22.68,666.0
118.44,60.81,14:00:20:212,23.06,666.0
125.05,58.84,14:00:20:336,24.64,666.0
128.17,54.38,14:00:20:466,27.6,666.0
133.66,51.3,14:00:20:591,25.59,666.0
139.23,47.32,14:00:20:724,23.14,666.0
144.78,40.93,14:00:20:858,20.78,666.0
147.73,34.52,14:00:20:981,20.75,666.0
149.81,26.28,14:00:21:103,21.94,666.0
150.59,17.17,14:00:21:226,22.09,666.0
149.98,10.93,14:00:21:355,22.48,666.0
149.6,5.33,14:00:21:489,22.49,666.0
148.94,2.89,14:00:21:622,23.23,666.0
148.86,3.3,14:00:21:774,23.71,666.0
148.7,5.06,14:00:21:909,24.04,666.0
149.31,4.32,14:00:22:030,23.69,666.0
148.78,6.41,14:00:22:159,24.41,666.0
149.28,6.24,14:00:22:281,23.79,666.0
148.87,12.86,14:00:22:404,23.4,666.0
148.03,24.81,14:00:22:531,20.89,666.0
144.99,34.86,14:00:22:660,19.34,666.0
141.05,41.01,14:00:22:793,18.67,666.0
137.09,45.63,14:00:22:920,19.85,666.0
134.1,48.29,14:00:23:051,19.56,666.0
128.64,51.59,14:00:23:177,19.59,666.0
122.07,55.03,14:00:23:302,21.35,666.0
114.74,57.04,14:00:23:429,20.69,666.0
101.97,57.64,14:00:23:555,27.06,666.0
88.72,58.31,14:00:23:695,33.57,48.33
77.97,60.99,14:00:23:830,31.2,39.58
64.03,60.52,14:00:23:958,35.98,24.94
51.91,61.72,14:00:24:086,37.69,11.23
43.11,56.35,14:00:24:215,33.39,3.62
36.07,50.86,14:00:24:345,24.86,666.0
29.84,44.5,14:00:24:477,25.91,666.0
22.3,32.81,14:00:24:617,27.94,666.0
19.34,22.94,14:00:24:746,26.01,666.0
15.87,5.17,14:00:24:900,28.36,666.0
13.33,-12.17,14:00:25:029,29.95,666.0
13.39,-19.85,14:00:25:164,27.1,666.0
13.75,-27.23,14:00:25:301,24.71,666.0
14.24,-34.28,14:00:25:428,27.82,666.0
13.22,-29.16,14:00:25:563,26.37,666.0
13.32,-32.58,14:00:25:695,28.18,666.0
12.42,-30.97,14:00:25:836,27.41,666.0
11.81,-28.57,14:00:25:961,26.55,666.0
11.84,-19.15,14:00:26:090,28.31,666.0
13.09,6.49,14:00:26:226,31.22,-1.8
17.31,27.64,14:00:26:357,35.97,1.49
21.9,39.62,14:00:26:493,33.02,6.57
34.03,51.1,14:00:26:625,32.13,18.58
43.89,57.12,14:00:26:751,23.32,666.0
49.17,60.21,14:00:26:887,36.35,19.36
55.68,57.22,14:00:27:011,40.9,26.85
