elev,shp,time,elb,rie
21.8,-22.44,17:26:03:341,37.18,22.39
21.78,-22.32,17:26:03:452,36.69,22.59
20.82,-20.15,17:26:03:558,35.59,23.74
20.59,-19.41,17:26:03:667,35.01,24.38
20.66,-20.32,17:26:03:774,35.05,23.81
20.93,-20.48,17:26:03:880,35.2,23.89
20.95,-21.29,17:26:03:988,35.63,22.74
21.29,-21.79,17:26:04:095,36.04,23.03
21.53,-22.52,17:26:04:202,36.5,22.93
21.59,-23.61,17:26:04:311,36.95,22.38
21.65,-24.04,17:26:04:422,36.96,22.12
21.58,-24.89,17:26:04:531,37.23,21.04
21.75,-24.86,17:26:04:637,37.49,21.14
21.88,-25.15,17:26:04:747,37.69,21.04
21.86,-24.94,17:26:04:855,37.52,21.62
21.69,-23.9,17:26:04:968,37.25,22.23
21.73,-23.91,17:26:05:082,37.49,22.06
21.16,-23.49,17:26:05:194,36.98,21.89
20.78,-23.15,17:26:05:305,36.66,21.92
20.0,-20.95,17:26:05:421,35.47,22.55
19.59,-19.18,17:26:05:541,34.51,23.6
19.38,-18.36,17:26:05:651,33.92,24.19
19.47,-17.21,17:26:05:770,33.52,25.28
20.33,-20.1,17:26:05:887,35.04,24.91
20.55,-20.51,17:26:06:000,35.36,24.85
20.64,-21.32,17:26:06:108,35.64,24.17
20.53,-21.99,17:26:06:219,35.77,23.38
20.8,-22.13,17:26:06:334,35.97,23.12
20.95,-22.21,17:26:06:440,36.16,23.12
20.84,-22.35,17:26:06:546,36.29,22.64
20.75,-21.56,17:26:06:657,35.97,23.03
20.75,-19.79,17:26:06:766,35.27,24.31
20.97,-19.43,17:26:06:874,35.4,24.71
20.53,-17.53,17:26:06:987,34.6,24.59
20.59,-16.29,17:26:07:110,34.2,24.93
20.95,-16.74,17:26:07:220,34.67,25.33
21.01,-17.16,17:26:07:336,34.61,25.35
20.75,-16.67,17:26:07:446,34.41,25.33
20.92,-17.87,17:26:07:560,34.84,25.1
20.38,-18.23,17:26:07:673,35.21,24.14
19.98,-18.29,17:26:07:789,34.95,24.32
20.35,-18.47,17:26:07:903,35.0,24.68
20.48,-18.4,17:26:08:015,34.77,25.03
20.87,-18.71,17:26:08:127,34.86,25.09
