x,y,x,y
45286.98980952381,37.18834821428518,45287.00635087719,29.20804824554526
45287.09726190476,37.613038847104356,45287.11399122807,28.199321219694983
45287.20471428571,40.1212142855907,45287.22163157895,28.916179337311732
45287.31216666667,45.066618123073,45287.329271929826,39.01559210562237
45287.41961904762,50.93663892755461,45287.436912280704,54.31550125343091
45287.52707142857,60.78563649234169,45287.54455263158,66.71243421134669
45287.634523809524,70.79016434899835,45287.65219298245,80.18926315761911
45287.741976190475,85.92332622623731,45287.75983333333,94.21388888894033
45287.849428571426,100.00275813294527,45287.86747368421,108.70211911351804
45287.956880952384,111.50539966042062,45287.975114035085,119.37983641539815
45288.064333333336,122.96019801989063,45288.08275438596,129.19423897600362
45288.17178571429,128.26575510206393,45288.19039473684,138.61054311332978
