elev,shp,time,elb,rie
20.8,-23.86,18:23:20:271,9.58,666.0
17.17,-25.42,18:23:20:407,12.11,666.0
16.79,-25.46,18:23:20:548,13.35,666.0
22.77,-21.12,18:23:20:671,15.17,666.0
30.14,-17.0,18:23:20:796,18.66,666.0
42.23,-13.57,18:23:20:919,19.96,666.0
52.21,-10.28,18:23:21:040,16.59,666.0
63.37,-7.06,18:23:21:176,17.1,666.0
72.07,-5.1,18:23:21:308,12.8,666.0
81.75,-3.88,18:23:21:447,15.25,666.0
91.54,-3.81,18:23:21:575,14.47,666.0
103.47,-3.59,18:23:21:701,15.6,666.0
111.78,-3.17,18:23:21:846,14.28,666.0
120.29,-2.78,18:23:21:966,14.15,666.0
129.6,-1.33,18:23:22:084,12.62,666.0
137.2,1.39,18:23:22:204,13.9,666.0
143.55,3.69,18:23:22:334,16.81,666.0
149.84,12.94,18:23:22:469,17.32,666.0
154.16,21.71,18:23:22:592,15.28,666.0
158.34,33.76,18:23:22:717,16.52,666.0
162.24,59.71,18:23:22:856,10.31,666.0
161.96,79.82,18:23:22:994,9.51,666.0
163.14,94.86,18:23:23:135,5.9,666.0
163.24,56.03,18:23:23:272,9.92,666.0
156.8,29.86,18:23:23:407,10.41,666.0
144.72,13.34,18:23:23:539,6.31,666.0
134.98,6.86,18:23:23:671,13.65,666.0
126.3,2.28,18:23:23:792,12.82,666.0
114.69,-1.26,18:23:23:918,12.66,666.0
101.75,-6.48,18:23:24:053,5.56,666.0
86.31,-9.26,18:23:24:174,5.92,666.0
68.79,-12.16,18:23:24:308,9.79,666.0
53.91,-13.95,18:23:24:438,10.11,666.0
43.04,-15.08,18:23:24:572,7.22,666.0
35.2,-15.92,18:23:24:693,3.87,666.0
26.37,-16.24,18:23:24:817,2.1,666.0
18.72,-21.74,18:23:24:946,7.31,666.0
14.7,-25.27,18:23:25:071,12.55,666.0
18.07,-23.28,18:23:25:199,15.99,666.0
24.79,-19.18,18:23:25:328,17.25,666.0
