elev,shp,time,elb,rie
86.82,0.28,15:27:19:100,48.31,-84.5
88.21,1.09,15:27:19:217,63.94,-57.53
90.87,1.04,15:27:19:328,77.23,43.18
90.5,1.99,15:27:19:458,94.88,17.8
92.77,1.74,15:27:19:583,107.35,59.78
96.62,2.02,15:27:19:707,114.72,75.48
94.3,2.89,15:27:19:834,124.9,60.07
93.39,3.95,15:27:19:961,130.53,43.54
93.29,4.31,15:27:20:080,130.96,41.66
92.42,5.8,15:27:20:201,132.38,27.56
92.64,4.22,15:27:20:318,130.92,35.76
96.13,4.39,15:27:20:432,118.07,52.46
95.04,4.35,15:27:20:549,111.42,47.65
90.9,1.65,15:27:20:671,96.87,31.33
89.56,0.6,15:27:20:792,78.58,-31.72
89.28,0.18,15:27:20:914,63.79,-75.0
88.9,-0.2,15:27:21:028,43.28,-101.95
87.24,-0.36,15:27:21:148,34.23,-105.77
84.66,1.05,15:27:21:273,27.63,666.0
84.89,0.07,15:27:21:401,18.96,666.0
85.27,-0.4,15:27:21:524,16.34,666.0
85.49,-0.65,15:27:21:646,15.2,666.0
85.89,-0.19,15:27:21:763,14.06,666.0
85.92,0.32,15:27:21:891,14.25,666.0
85.89,0.33,15:27:22:013,14.26,666.0
85.49,0.41,15:27:22:129,20.55,666.0
84.27,3.07,15:27:22:253,29.7,666.0
85.92,1.59,15:27:22:378,42.92,-72.31
86.44,0.4,15:27:22:502,53.94,-80.35
87.23,0.13,15:27:22:632,72.33,-84.47
89.05,0.34,15:27:22:765,87.82,-64.21
90.87,1.02,15:27:22:880,100.62,46.37
94.23,2.05,15:27:22:997,114.62,65.59
94.73,2.73,15:27:23:164,126.97,62.41
94.96,2.88,15:27:23:280,128.46,64.67
97.7,3.27,15:27:23:400,126.62,71.21
96.0,2.82,15:27:23:524,124.4,69.5
96.49,2.17,15:27:23:653,114.17,74.38
94.85,1.99,15:27:23:769,100.57,71.73
92.26,-0.63,15:27:23:887,90.18,109.79
91.34,-2.17,15:27:24:002,75.84,153.59
91.97,-2.73,15:27:24:118,64.21,147.07
91.13,-2.21,15:27:24:237,49.62,153.66
90.01,-3.21,15:27:24:371,34.73,-177.81
88.63,-3.3,15:27:24:495,31.28,-167.12
87.79,-2.94,15:27:24:616,25.5,666.0
87.02,-2.73,15:27:24:731,17.47,666.0
86.72,-2.87,15:27:24:851,14.92,666.0
86.34,-2.72,15:27:24:979,12.84,666.0
86.01,-1.83,15:27:25:095,13.72,666.0
86.04,-2.22,15:27:25:211,14.6,666.0
86.18,-2.25,15:27:25:328,17.66,666.0
85.98,-2.53,15:27:25:448,21.79,666.0
85.67,-2.46,15:27:25:575,29.23,666.0
87.19,-2.38,15:27:25:694,42.33,-133.48
87.76,-2.83,15:27:25:814,59.75,-141.88
87.92,-2.96,15:27:25:935,73.08,-141.85
89.3,-3.17,15:27:26:064,90.5,-161.52
91.01,-1.99,15:27:26:185,102.28,158.62
99.11,-0.74,15:27:26:301,114.14,98.75
95.96,-0.89,15:27:26:411,127.14,98.35
95.18,-0.71,15:27:26:528,130.75,100.7
94.89,-0.57,15:27:26:645,131.57,101.65
94.8,0.61,15:27:26:767,131.18,87.43
96.26,-2.09,15:27:26:897,121.13,113.98
97.6,-1.43,15:27:27:015,109.32,106.23
94.09,-2.22,15:27:27:129,97.58,125.24
92.72,-2.05,15:27:27:249,84.74,133.15
91.86,-2.27,15:27:27:366,67.86,147.25
91.1,-1.85,15:27:27:498,57.38,153.75
92.05,-0.9,15:27:27:616,41.67,116.43
91.15,-0.42,15:27:27:733,28.78,666.0
88.37,-0.14,15:27:27:850,19.53,666.0
87.03,0.99,15:27:27:969,14.21,666.0
85.42,1.81,15:27:28:099,16.78,666.0
85.27,1.69,15:27:28:217,14.84,666.0
85.91,1.45,15:27:28:337,19.13,666.0
85.94,1.12,15:27:28:451,21.04,666.0
86.54,0.65,15:27:28:566,22.14,666.0
86.43,0.45,15:27:28:688,25.03,666.0
86.04,-0.7,15:27:28:803,37.86,-111.75
87.43,-1.71,15:27:28:919,45.93,-125.26
88.09,-2.76,15:27:29:042,59.53,-141.18
89.22,-3.33,15:27:29:166,74.11,-158.29
90.49,-3.27,15:27:29:291,84.7,-178.25
92.02,-3.3,15:27:29:412,96.4,158.78
95.69,-1.99,15:27:29:528,106.54,119.18
100.83,-0.36,15:27:29:646,111.9,100.5
96.91,-0.52,15:27:29:766,121.83,103.18
98.16,-0.21,15:27:29:888,124.29,101.65
97.73,0.06,15:27:30:003,128.86,98.82
97.64,0.39,15:27:30:123,129.24,96.76
102.19,1.47,15:27:30:238,125.45,91.34
102.27,-0.15,15:27:30:364,116.41,99.03
101.34,-1.62,15:27:30:509,102.81,105.78
93.57,-3.42,15:27:30:631,92.86,143.32
92.38,-3.29,15:27:30:756,80.68,155.86
91.12,-3.15,15:27:30:875,66.58,168.04
88.96,-3.38,15:27:30:994,56.73,-161.08
89.13,-2.95,15:27:31:115,41.97,-166.48
87.65,-2.45,15:27:31:232,34.0,-142.43
86.27,-2.15,15:27:31:363,23.41,666.0
85.39,-1.82,15:27:31:481,16.2,666.0
83.65,-0.77,15:27:31:603,15.28,666.0
83.39,-0.8,15:27:31:724,12.98,666.0
83.39,-0.56,15:27:31:847,14.52,666.0
83.2,-0.33,15:27:31:966,19.02,666.0
83.0,-0.33,15:27:32:085,19.24,666.0
83.16,-0.18,15:27:32:225,25.45,666.0
83.67,-0.17,15:27:32:346,37.36,-100.74
86.19,0.33,15:27:32:471,46.67,-86.99
87.28,0.43,15:27:32:605,58.25,-77.51
86.95,-0.37,15:27:32:732,74.15,-89.1
87.27,-0.05,15:27:32:861,90.53,-82.23
88.74,0.08,15:27:32:976,101.85,-76.77
91.6,1.02,15:27:33:098,112.84,66.69
92.3,1.75,15:27:33:226,121.74,62.23
92.69,2.29,15:27:33:340,128.5,57.36
93.25,2.44,15:27:33:462,129.27,61.55
93.39,2.59,15:27:33:582,128.52,60.58
92.9,2.71,15:27:33:698,123.67,55.72
92.74,2.33,15:27:33:823,117.5,58.33
90.83,0.46,15:27:33:963,103.55,71.11
89.58,0.11,15:27:34:084,92.88,-66.35
88.56,-0.37,15:27:34:199,78.21,-95.24
88.39,-0.55,15:27:34:318,63.66,-101.42
88.72,-0.59,15:27:34:450,51.46,-110.66
89.26,0.6,15:27:34:563,42.52,-49.45
87.57,1.13,15:27:34:687,26.79,666.0
85.13,2.08,15:27:34:811,20.27,666.0
84.96,2.27,15:27:34:926,21.61,666.0
85.38,2.77,15:27:35:045,20.28,666.0
86.2,3.64,15:27:35:163,12.0,666.0
85.97,3.7,15:27:35:293,13.0,666.0
86.16,3.76,15:27:35:410,19.52,666.0
86.34,3.65,15:27:35:532,19.73,666.0
86.37,3.31,15:27:35:650,26.41,666.0
87.38,2.21,15:27:35:766,39.34,-56.23
89.84,1.64,15:27:35:906,43.12,-3.9
89.33,1.23,15:27:36:028,59.56,-23.04
88.82,0.9,15:27:36:150,70.81,-43.47
89.43,0.76,15:27:36:271,82.88,-25.68
90.26,0.55,15:27:36:395,99.71,36.12
92.89,1.26,15:27:36:513,104.93,77.83
95.57,2.55,15:27:36:634,114.87,76.0
95.62,3.03,15:27:36:751,124.83,67.73
96.72,3.32,15:27:36:872,126.75,72.75
97.02,3.34,15:27:36:994,129.28,74.38
96.84,3.1,15:27:37:117,129.66,75.86
96.64,2.73,15:27:37:232,129.04,74.67
99.47,2.7,15:27:37:362,118.28,81.04
96.71,1.77,15:27:37:482,107.88,81.66
92.4,0.41,15:27:37:600,93.87,89.72
90.93,0.31,15:27:37:718,82.92,82.18
90.04,0.43,15:27:37:831,66.21,12.65
89.5,0.25,15:27:37:957,50.66,-60.82
89.95,0.6,15:27:38:075,35.2,-0.91
88.89,1.14,15:27:38:203,20.18,666.0
87.29,1.85,15:27:38:328,16.4,666.0
85.8,1.96,15:27:38:451,18.54,666.0
85.46,1.5,15:27:38:566,17.87,666.0
85.49,0.94,15:27:38:692,18.74,666.0
85.46,0.3,15:27:38:809,19.53,666.0
85.21,0.23,15:27:38:931,19.79,666.0
84.81,-0.17,15:27:39:061,24.61,666.0
84.28,-0.26,15:27:39:182,31.56,-106.28
87.35,-1.43,15:27:39:302,48.05,-120.14
88.44,-1.69,15:27:39:428,59.22,-133.37
88.64,-1.92,15:27:39:565,73.21,-136.62
88.99,-2.01,15:27:39:684,86.23,-142.52
90.67,-2.06,15:27:39:809,101.26,172.48
95.14,-1.4,15:27:39:924,111.72,114.8
95.36,-0.67,15:27:40:044,119.0,107.07
95.88,0.07,15:27:40:163,123.7,98.92
96.06,0.37,15:27:40:293,127.49,95.83
95.8,-0.2,15:27:40:420,125.72,99.82
98.22,-1.04,15:27:40:544,114.12,104.55
94.51,-2.86,15:27:40:663,101.15,130.46
92.23,-3.89,15:27:40:781,90.71,159.07
91.36,-3.92,15:27:40:902,74.43,170.16
89.94,-3.73,15:27:41:026,60.03,-175.74
89.96,-3.62,15:27:41:143,43.55,-178.61
87.76,-2.87,15:27:41:257,32.19,-149.93
86.63,-2.47,15:27:41:379,25.99,666.0
85.81,-0.05,15:27:41:509,20.01,666.0
84.4,1.39,15:27:41:633,18.2,666.0
83.91,2.16,15:27:41:760,17.15,666.0
83.85,2.33,15:27:41:876,19.34,666.0
83.93,2.03,15:27:41:999,19.95,666.0
83.66,1.93,15:27:42:131,21.11,666.0
83.29,1.84,15:27:42:253,28.09,666.0
84.15,1.48,15:27:42:382,31.06,-86.57
85.12,1.14,15:27:42:509,36.83,-79.49
87.19,1.28,15:27:42:628,50.56,-63.97
87.14,1.06,15:27:42:748,60.34,-64.61
87.9,1.04,15:27:42:860,72.29,-54.97
88.59,0.85,15:27:42:983,81.03,-47.76
89.69,0.57,15:27:43:107,95.4,-16.67
93.64,1.94,15:27:43:226,105.46,73.72
97.56,2.56,15:27:43:354,111.72,82.47
98.04,2.94,15:27:43:482,124.6,78.24
96.88,2.5,15:27:43:603,127.65,79.61
96.69,1.98,15:27:43:731,129.14,82.3
99.6,2.65,15:27:43:852,127.04,81.54
100.94,0.5,15:27:43:973,116.9,89.35
99.88,-2.67,15:27:44:098,101.94,110.57
96.12,-2.74,15:27:44:222,93.6,120.58
94.07,-3.31,15:27:44:342,76.91,134.81
93.53,-3.92,15:27:44:469,62.34,139.87
91.78,-4.05,15:27:44:595,45.72,154.78
90.49,-3.91,15:27:44:716,30.61,170.3
87.18,-3.24,15:27:44:832,24.27,666.0
86.29,-2.24,15:27:44:950,15.17,666.0
84.72,-1.19,15:27:45:062,17.12,666.0
83.83,-0.82,15:27:45:196,14.52,666.0
83.62,-0.83,15:27:45:314,19.93,666.0
83.56,-0.82,15:27:45:431,20.1,666.0
83.63,-0.82,15:27:45:546,20.83,666.0
83.85,-1.1,15:27:45:667,22.58,666.0
83.72,-1.17,15:27:45:797,30.81,-112.16
83.67,-1.18,15:27:45:915,41.92,-109.81
86.83,-0.41,15:27:46:042,49.33,-100.06
86.78,-0.21,15:27:46:161,62.61,-91.5
86.97,-0.34,15:27:46:277,70.41,-90.86
87.43,-0.21,15:27:46:398,79.23,-84.92
88.7,-0.51,15:27:46:517,86.49,-101.69
89.37,0.37,15:27:46:637,99.65,-50.51
93.51,1.32,15:27:46:764,107.07,78.34
98.03,2.8,15:27:46:893,114.05,79.37
96.43,3.14,15:27:47:015,119.73,73.2
95.84,3.16,15:27:47:139,128.02,68.12
95.82,2.99,15:27:47:260,127.37,71.6
95.86,3.11,15:27:47:385,127.09,70.89
96.01,2.59,15:27:47:513,124.99,75.02
98.34,1.77,15:27:47:633,117.51,83.87
95.41,-0.41,15:27:47:752,110.01,99.53
91.89,-2.68,15:27:47:874,99.26,150.17
90.14,-3.64,15:27:48:000,83.96,-176.67
88.63,-4.49,15:27:48:122,74.16,-157.55
88.19,-5.21,15:27:48:247,57.28,-161.02
88.34,-4.66,15:27:48:368,36.58,-159.72
87.24,-3.82,15:27:48:492,27.5,666.0
84.87,-2.13,15:27:48:611,24.06,666.0
83.52,-0.42,15:27:48:727,19.16,666.0
83.27,0.09,15:27:48:851,11.47,666.0
