elev,shp,time,elb,rie
20.34,-33.99,12:56:45:015,18.2,666.0
20.23,-34.41,12:56:45:145,18.01,666.0
19.99,-35.0,12:56:45:269,18.25,666.0
20.06,-35.1,12:56:45:409,18.17,666.0
20.27,-35.39,12:56:45:542,18.12,666.0
20.32,-35.26,12:56:45:674,18.28,666.0
20.2,-34.53,12:56:45:809,18.34,666.0
20.43,-34.39,12:56:45:933,18.36,666.0
20.48,-34.66,12:56:46:067,18.66,666.0
20.54,-34.59,12:56:46:194,18.59,666.0
20.71,-34.13,12:56:46:342,18.75,666.0
20.88,-34.14,12:56:46:477,18.84,666.0
20.77,-33.78,12:56:46:603,18.99,666.0
20.83,-33.91,12:56:46:739,19.2,666.0
20.84,-33.7,12:56:46:891,19.26,666.0
20.87,-33.54,12:56:47:037,19.5,666.0
20.99,-33.51,12:56:47:180,19.62,666.0
20.88,-33.42,12:56:47:324,19.76,666.0
20.96,-33.3,12:56:47:455,19.83,666.0
21.21,-33.49,12:56:47:590,20.48,666.0
24.66,-31.0,12:56:47:733,21.1,666.0
31.9,-22.6,12:56:47:871,18.7,666.0
37.84,-18.92,12:56:47:997,18.17,666.0
43.99,-15.37,12:56:48:146,21.61,666.0
50.42,-13.92,12:56:48:284,18.64,666.0
57.3,-11.88,12:56:48:420,20.51,666.0
65.85,-10.65,12:56:48:552,18.18,666.0
73.87,-10.15,12:56:48:696,15.95,666.0
80.72,-9.03,12:56:48:855,17.44,666.0
87.05,-8.94,12:56:48:985,15.81,666.0
92.38,-9.03,12:56:49:120,19.35,666.0
99.39,-7.84,12:56:49:250,16.17,666.0
106.82,-6.26,12:56:49:378,14.17,666.0
113.18,-4.95,12:56:49:526,14.16,666.0
115.78,-4.43,12:56:49:662,17.43,666.0
120.9,-5.09,12:56:49:788,16.8,666.0
126.04,-3.7,12:56:49:926,17.62,666.0
130.14,-2.47,12:56:50:057,17.17,666.0
133.77,-1.67,12:56:50:186,19.51,666.0
138.21,-0.44,12:56:50:316,20.01,666.0
143.08,2.99,12:56:50:454,17.64,666.0
146.84,5.39,12:56:50:586,18.9,666.0
150.19,9.72,12:56:50:706,22.33,666.0
153.56,15.26,12:56:50:849,20.24,666.0
159.42,21.92,12:56:50:989,18.12,666.0
161.93,27.83,12:56:51:117,18.93,666.0
162.64,26.52,12:56:51:262,18.42,666.0
163.09,25.61,12:56:51:392,17.37,666.0
159.48,22.2,12:56:51:525,19.51,666.0
155.36,17.39,12:56:51:653,19.94,666.0
153.5,15.24,12:56:51:790,19.22,666.0
151.7,11.75,12:56:51:923,16.94,666.0
148.73,9.08,12:56:52:055,13.11,666.0
144.77,4.47,12:56:52:186,12.58,666.0
138.96,3.22,12:56:52:321,13.86,666.0
133.61,1.35,12:56:52:448,12.82,666.0
127.03,-0.38,12:56:52:579,12.04,666.0
115.34,-5.68,12:56:52:719,16.61,666.0
